,street,number,postal_code,neighbourhood,region,latitude,longitude,name
1950,Briskebyveien,70,259,Briskeby,Oslo,59.92146,10.716194,Briskebyveien 70
1951,Dælenenggata,23,567,Torshov,Oslo,59.927337,10.771448,Dælenenggata 23
1952,,,0,Enerhaugen,Oslo,59.914814,10.766308,Nr. 13
1953,Øivinds vei,2,590,Tonsenhagen,Oslo,59.944413,10.811326,Øivinds vei 2
1954,Lerkeveien,2G,1053,Ammerud,Oslo,59.947286,10.889356,Lerkeveien 2G
1955,Karl Johans gate,31,159,hammer,Oslo,59.913745,10.739477,Karl Johans gate 31
1956,Karl Johans gate,37-43,0,Vika,Oslo,59.914445,10.737837,Paleet
1957,Henrik Ibsens gate,60C,255,Ruselokka,Oslo,59.914992,10.720439,Henrik Ibsens gate 60C
1958,Bentsegata,1B,465,Torshov,Oslo,59.937869,10.757136,Bentsegata 1B
1959,Storgata,13,155,hammer,Oslo,59.913808,10.748869,Storgata 13
1960,Underhaugsveien,11,354,Homansbyen,Oslo,59.924563,10.727863,Underhaugsveien 11
1961,,,0,,Oslo,60.041422,10.755485,Øyungsdammen Ø
1962,Romsdalsgata,1C,556,Torshov,Oslo,59.927417,10.7644,Romsdalsgata 1C
1963,Olav Nygards Veg,62,688,Bøler,Oslo,59.886525,10.854253,Olav Nygards Veg 62
1964,Rådhusgata,28,151,St. Hanshaugen,Oslo,59.909831,10.740738,Rådhusgata 28
1965,Karl Johans Gate,43,162,Vika,Oslo,59.91448,10.736932,Karl Johans Gate 43
1966,Mauritz Hansens Gate,4,350,Homansbyen,Oslo,59.921362,10.731212,Mauritz Hansens Gate 4
1967,Kristian IV''s Gate,4,164,hammer,Oslo,59.914895,10.739744,Kristian IV''s Gate 4
1968,Sognsveien,75,855,Sogn,Oslo,59.948522,10.734687,Sognsveien 75
1969,Arendalsgata,3A,463,Torshov,Oslo,59.937415,10.75563,Arendalsgata 3A
1970,Keysers Gate,8,165,hammer,Oslo,59.91667,10.742363,Keysers Gate 8
1971,Olleveien,14D,1182,Ekeberg,Oslo,59.894643,10.79092,Olleveien 14D
1972,Storgata,5,155,St. Hanshaugen,Oslo,59.913199,10.748485,Storgata 5
1973,Essendrops Gate,8,368,Majorstuen,Oslo,59.929277,10.710253999999999,Essendrops Gate 8
1974,Ingelbrecht Knudssøns Gate,11,365,Bislett,Oslo,59.927869,10.721686,Ingelbrecht Knudssøns Gate 11
1975,Stortingsgata,26,161,Vika,Oslo,59.914202,10.733401,Stortingsgata 26
1976,Leirfallsgata,6,550,hammer,Oslo,59.919335,10.757515,Leirfallsgata 6
1977,Ruseløkkveien,6,251,Vika,Oslo,59.91469,10.731137,Ruseløkkveien 6
1978,Torshovgata,33,476,Torshov,Oslo,59.932835,10.768162,Torshovgata 33
1979,Youngstorget,2,181,hammer,Oslo,59.914553,10.749678,Youngstorget 2
1980,Fredensborgveien,22,177,hammer,Oslo,59.918547,10.747854,Fredensborgveien 22
1981,Pløens gate,4,181,hammer,Oslo,59.914168,10.748852,Pløens gate 4
1982,,,0,Briskeby,Oslo,59.927584,10.698691,Nr. 12: Gutteslagsmål
1983,,,0,Ryen,Oslo,59.893547,10.805305,Ryensvingen 3
1984,Lørenfaret,3,585,Økern,Oslo,59.930579,10.799143,Lørenfaret 3
1985,Grønland,24,188,Vaterland,Oslo,59.912936,10.761899,Grønland 24
1986,Osterhaus'' Gate,14,183,hammer,Oslo,59.917183,10.753222,Osterhaus'' Gate 14
1987,Grensesvingen,7,661,Helsfyr,Oslo,59.914091,10.798652,Grensesvingen 7
1988,Sørkedalsveien,10,369,Majorstuen,Oslo,59.930724,10.709959,Sørkedalsveien 10
1989,Biskop Gunnerus' gate,3,155,St. Hanshaugen,Oslo,59.912457,10.749962,Biskop Gunnerus' gate 3
1990,Bygdøy Allé,15,257,Ruselokka,Oslo,59.915814,10.714054,Bygdøy Allé 15
1991,Brobekkveien,80,582,Økern,Oslo,59.93206,10.831542,Brobekkveien 80
1992,Jernbanetorget,1,154,St. Hanshaugen,Oslo,59.910871,10.750735,Jernbanetorget 1
1993,Seilduksgata,5,553,Fredensborg,Oslo,59.925336,10.756513,Seilduksgata 5
1994,Hammersborg Torg,3,179,hammer,Oslo,59.916881,10.749177,Hammersborg Torg 3
1995,Osterhaus'' Gate,13,183,hammer,Oslo,59.917038,10.752631,Osterhaus'' Gate 13
1996,Gabels Gate,11,272,Skillebekk,Oslo,59.91269,10.70896,Gabels Gate 11
1997,Markveien,35A,554,Fredensborg,Oslo,59.922222,10.757185,Markveien 35A
1998,Oscars Gate,19,352,Homansbyen,Oslo,59.922558,10.726777,Oscars Gate 19
1999,Storgata,21,184,hammer,Oslo,59.914316,10.750491,Storgata 21
2000,Kristian IVs gate,2,159,hammer,Oslo,59.914735,10.740364,Kristian IVs gate 2
2001,Schweigaards Gate,56,656,Grønland,Oslo,59.908552,10.769722999999999,Schweigaards Gate 56
2002,Olaf Ryes plass,8,552,Fredensborg,Oslo,59.923501,10.757619,Olaf Ryes plass 8
2003,Ullevålsveien,45,171,Homansbyen,Oslo,59.924181,10.739662,Ullevålsveien 45
2004,Dronningens gate,8A,152,St. Hanshaugen,Oslo,59.90845,10.744618,Dronningens gate 8A
2005,Helgesens Gate,50,553,Enerhaugen,Oslo,59.923568,10.76582,Helgesens Gate 50
2006,Europarådets plass,1,154,St. Hanshaugen,Oslo,59.911954,10.749291,Europarådets plass 1
2007,Drammensveien,130,277,Gimlé,Oslo,59.921455,10.688035,Drammensveien 130
2008,Trondheimsveien,162,570,Sindsen,Oslo,59.930412,10.777917,Trondheimsveien 162
2009,Jens Bjelkes gate,9B,562,Enerhaugen,Oslo,59.918982,10.763793,Jens Bjelkes gate 9B
2010,Bøkkerveien,11,579,Økern,Oslo,59.92739,10.79616,Bøkkerveien 11
2011,Thorvald Meyers Gate,43,555,Fredensborg,Oslo,59.924406,10.758889,Thorvald Meyers Gate 43
2012,Olav Kyrres gate,6F,273,Gimlé,Oslo,59.918252,10.69093,Olav Kyrres gate 6F
2013,Lilleakerveien,30,283,Skøyen,Oslo,59.920152,10.635375,Lilleakerveien 30
2014,Pilestredet,63D,350,Homansbyen,Oslo,59.924194,10.73106,Pilestredet 63D
2015,Møllergata,8,179,hammer,Oslo,59.914181,10.746586,Møllergata 8
2016,Trondheimsveien,111C,565,Sindsen,Oslo,59.925692,10.77612,Trondheimsveien 111C
2017,Hammersborg Torg,3,179,hammer,Oslo,59.916881,10.749177,Hammersborg Torg 3
2018,Lørenveien,44,585,Økern,Oslo,59.930662,10.793579,Lørenveien 44
2019,Refstadveien,68,589,Tonsenhagen,Oslo,59.942403,10.811703,Refstadveien 68
2020,Universitetsgata,11,164,hammer,Oslo,59.916706,10.738472999999999,Universitetsgata 11
2021,Trygve Strømbergs Vei,2,1263,Holmlia,Oslo,59.826874,10.80964,Trygve Strømbergs Vei 2
2022,Monrads gate,1C,577,Enerhaugen,Oslo,59.915592,10.773451,Monrads gate 1C
2023,Akershusstranda,11,150,Vika,Oslo,59.907893,10.733983,Akershusstranda 11
2024,Sørengkaia,163,194,St. Hanshaugen,Oslo,59.902285,10.752083,Sørengkaia 163
2025,Hoffsveien,15,275,Smedstad,Oslo,59.9259,10.675415,Hoffsveien 15
2026,Holmlia Senter Vei,10,1255,Holmlia,Oslo,59.834355,10.795301,Holmlia Senter Vei 10
2027,Grundingen,6,250,Aker Brygge,Oslo,59.910634,10.72731,Grundingen 6
2028,Bøkkerveien,4,579,Økern,Oslo,59.92698,10.793998,Bøkkerveien 4
2029,Trollvannsveien,3,490,Kjelsås,Oslo,59.961718,10.80608,Trollvannsveien 3
2030,Bentsebrugata,31,469,Torshov,Oslo,59.939314,10.759454999999999,Bentsebrugata 31
2031,Cort Adelers gate,16,254,Ruselokka,Oslo,59.913791,10.722309,Cort Adelers gate 16
2032,Thereses Gate,45,354,Bislett,Oslo,59.92654,10.731155,Thereses Gate 45
2033,Bernt Ankers gate,21,183,hammer,Oslo,59.916346,10.751384,Bernt Ankers gate 21
2034,,,0,Bygdøy,Oslo,59.901862,10.694654,Herbernveien
2035,Tollbugata,11,152,St. Hanshaugen,Oslo,59.910035,10.746311,Tollbugata 11
2036,Torggata,35,183,hammer,Oslo,59.917298,10.754027,Torggata 35
2037,,,0,Nydalen,Oslo,59.950103,10.765637,Gullhaug torg 2A
2038,Waldemar Thranes Gate,9,171,Fredensborg,Oslo,59.924358,10.742076,Waldemar Thranes Gate 9
2039,Nordre gate,20,551,Fredensborg,Oslo,59.921148,10.758321,Nordre gate 20
2040,Hagegata,22,653,Grønland,Oslo,59.914421,10.775439,Hagegata 22
2041,Tullins gate,5,166,hammer,Oslo,59.918258,10.7344,Tullins gate 5
2042,Hegdehaugsveien,26,352,Homansbyen,Oslo,59.921099,10.72735,Hegdehaugsveien 26
