organisasjonsnummer,navn,registreringsdatoEnhetsregisteret,registrertIMvaregisteret,antallAnsatte,stiftelsesdato,registrertIForetaksregisteret,registrertIStiftelsesregisteret,registrertIFrivillighetsregisteret,konkurs,underAvvikling,underTvangsavviklingEllerTvangsopplosning,maalform,organisasjonsform_kode,organisasjonsform_beskrivelse,organisasjonsform__links_self_href,naeringskode1_beskrivelse,naeringskode1_kode,forretningsadresse_land,forretningsadresse_landkode,forretningsadresse_postnummer,forretningsadresse_poststed,forretningsadresse_adresse,forretningsadresse_kommune,forretningsadresse_kommunenummer,links_self_href
985092133,GODT BRØD BISLETT AS,2002-12-10,True,14.0,2002-08-30,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Produksjon av brød og ferske konditorvarer,10.710,Norge,NO,0555,OSLO,['Thorvald Meyers gate 49'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/985092133
977515297,SEMB AS,1997-05-09,True,163.0,1997-04-17,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,"Drift av hoteller, pensjonater og moteller med restaurant",55.101,Norge,NO,0184,OSLO,['Stenersgata 2'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/977515297
915335020,NEDRE FOSS AS,2015-05-04,True,91.0,2015-04-24,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0551,OSLO,['Nordre gate 2'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/915335020
928342484,KRYDDERN AS,2021-12-15,True,5.0,2021-11-14,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av gatekjøkken,56.102,Norge,NO,0667,OSLO,['Nils Hansens vei 15'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/928342484
916036310,KAMPEN KAFFEBAR AS,2015-10-07,True,13.0,2015-09-10,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av barer ellers,56.309,Norge,NO,0655,OSLO,['Normannsgata 18'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/916036310
928912833,LOS TACOS SMESTAD AS,2022-03-11,True,33.0,2022-01-06,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0377,OSLO,['Hoffsveien 92'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/928912833
927660415,HAUGERUD SUSHI & WOK AS,2021-09-04,True,3.0,2021-07-28,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0673,OSLO,['Haugerudsenteret 1'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/927660415
993546402,TJUVHOLMEN SJØMAGASIN AS,2009-01-19,True,36.0,2009-01-15,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0252,OSLO,['Tjuvholmen allé 14'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/993546402
927876744,CREPES HOUSE CHALA OR HALA,2021-10-06,True,1.0,,True,False,False,False,False,False,Bokmål,ENK,Enkeltpersonforetak,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/ENK,Drift av restauranter og kafeer,56.101,Norge,NO,0150,OSLO,['Akershusstranda 25'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/927876744
918982620,JONATHAN TJUVHOLMEN AS,2017-05-11,True,11.0,2017-03-23,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0158,OSLO,['Rådhusgata 27'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/918982620
